municipality,parent_name,point_index,group_id,group_title,score
Академический,Юго-Западный,21,recreation_environment,Рекреация и экологическая комфортность,56.760000
Академический,Юго-Западный,21,safety_economic_stability,Безопасность и экономическая стабильность района,86.180000
Алексеевский,Северо-Восточный,1,transport_accessibility,Транспортная доступность,97.840000
Алексеевский,Северо-Восточный,1,social_infrastructure,Социальная инфраструктура,78.050000
Алексеевский,Северо-Восточный,1,commercial_household,Коммерческая и бытовая инфраструктура,88.850000
Алексеевский,Северо-Восточный,1,recreation_environment,Рекреация и экологическая комфортность,67.820000
Алексеевский,Северо-Восточный,1,safety_economic_stability,Безопасность и экономическая стабильность района,69.640000
Алексеевский,Северо-Восточный,2,transport_accessibility,Транспортная доступность,98.300000
Алексеевский,Северо-Восточный,2,social_infrastructure,Социальная инфраструктура,76.420000
Алексеевский,Северо-Восточный,2,commercial_household,Коммерческая и бытовая инфраструктура,89.800000
Алексеевский,Северо-Восточный,2,recreation_environment,Рекреация и экологическая комфортность,57.820000
Алексеевский,Северо-Восточный,2,safety_economic_stability,Безопасность и экономическая стабильность района,74.800000
Алексеевский,Северо-Восточный,3,transport_accessibility,Транспортная доступность,92.380000
Алексеевский,Северо-Восточный,3,social_infrastructure,Социальная инфраструктура,77.640000
Алексеевский,Северо-Восточный,3,commercial_household,Коммерческая и бытовая инфраструктура,79.230000
Алексеевский,Северо-Восточный,3,recreation_environment,Рекреация и экологическая комфортность,60.060000
Алексеевский,Северо-Восточный,3,safety_economic_stability,Безопасность и экономическая стабильность района,70.420000
Алексеевский,Северо-Восточный,4,transport_accessibility,Транспортная доступность,96.640000
Алексеевский,Северо-Восточный,4,social_infrastructure,Социальная инфраструктура,83.740000
Алексеевский,Северо-Восточный,4,commercial_household,Коммерческая и бытовая инфраструктура,98.380000
Алексеевский,Северо-Восточный,4,recreation_environment,Рекреация и экологическая комфортность,50.010000
Алексеевский,Северо-Восточный,4,safety_economic_stability,Безопасность и экономическая стабильность района,77.130000
Алексеевский,Северо-Восточный,5,transport_accessibility,Транспортная доступность,82.760000
Алексеевский,Северо-Восточный,5,social_infrastructure,Социальная инфраструктура,80.050000
Алексеевский,Северо-Восточный,5,commercial_household,Коммерческая и бытовая инфраструктура,88.940000
Алексеевский,Северо-Восточный,5,recreation_environment,Рекреация и экологическая комфортность,57.090000
Алексеевский,Северо-Восточный,5,safety_economic_stability,Безопасность и экономическая стабильность района,74.760000
Алексеевский,Северо-Восточный,6,transport_accessibility,Транспортная доступность,92.740000
Алексеевский,Северо-Восточный,6,social_infrastructure,Социальная инфраструктура,81.670000
Алексеевский,Северо-Восточный,6,commercial_household,Коммерческая и бытовая инфраструктура,99.830000
Алексеевский,Северо-Восточный,6,recreation_environment,Рекреация и экологическая комфортность,50.070000
Алексеевский,Северо-Восточный,6,safety_economic_stability,Безопасность и экономическая стабильность района,79.380000
Алексеевский,Северо-Восточный,7,transport_accessibility,Транспортная доступность,91.100000
Алексеевский,Северо-Восточный,7,social_infrastructure,Социальная инфраструктура,84.100000
Алексеевский,Северо-Восточный,7,commercial_household,Коммерческая и бытовая инфраструктура,99.350000
Алексеевский,Северо-Восточный,7,recreation_environment,Рекреация и экологическая комфортность,58.050000
Алексеевский,Северо-Восточный,7,safety_economic_stability,Безопасность и экономическая стабильность района,78.040000
Алексеевский,Северо-Восточный,8,transport_accessibility,Транспортная доступность,92.500000
Алексеевский,Северо-Восточный,8,social_infrastructure,Социальная инфраструктура,79.690000
Алексеевский,Северо-Восточный,8,commercial_household,Коммерческая и бытовая инфраструктура,100.000000
Алексеевский,Северо-Восточный,8,recreation_environment,Рекреация и экологическая комфортность,58.850000
Алексеевский,Северо-Восточный,8,safety_economic_stability,Безопасность и экономическая стабильность района,79.850000
Алексеевский,Северо-Восточный,9,transport_accessibility,Транспортная доступность,91.500000
Алексеевский,Северо-Восточный,9,social_infrastructure,Социальная инфраструктура,83.500000
Алексеевский,Северо-Восточный,9,commercial_household,Коммерческая и бытовая инфраструктура,100.000000
Алексеевский,Северо-Восточный,9,recreation_environment,Рекреация и экологическая комфортность,65.320000
Алексеевский,Северо-Восточный,9,safety_economic_stability,Безопасность и экономическая стабильность района,79.530000
Алексеевский,Северо-Восточный,10,transport_accessibility,Транспортная доступность,82.990000
Алексеевский,Северо-Восточный,10,social_infrastructure,Социальная инфраструктура,84.680000
Алексеевский,Северо-Восточный,10,commercial_household,Коммерческая и бытовая инфраструктура,99.490000
Алексеевский,Северо-Восточный,10,recreation_environment,Рекреация и экологическая комфортность,74.950000
Алексеевский,Северо-Восточный,10,safety_economic_stability,Безопасность и экономическая стабильность района,77.140000
Алексеевский,Северо-Восточный,11,transport_accessibility,Транспортная доступность,97.880000
Алексеевский,Северо-Восточный,11,social_infrastructure,Социальная инфраструктура,81.990000
Алексеевский,Северо-Восточный,11,commercial_household,Коммерческая и бытовая инфраструктура,100.000000
Алексеевский,Северо-Восточный,11,recreation_environment,Рекреация и экологическая комфортность,64.300000
Алексеевский,Северо-Восточный,11,safety_economic_stability,Безопасность и экономическая стабильность района,79.850000
Алексеевский,Северо-Восточный,12,transport_accessibility,Транспортная доступность,97.260000
Алексеевский,Северо-Восточный,12,social_infrastructure,Социальная инфраструктура,82.000000
Алексеевский,Северо-Восточный,12,commercial_household,Коммерческая и бытовая инфраструктура,100.000000
